date,per,roe,debt_equity,profit_margin,drop_from_high_pct,dividend_yield,source
2026-05-31,31.7,24.3,0.53,12.2,-2.8,,yfinance
2026-06-01,31.7,24.3,0.53,12.2,-2.8,,yfinance
2026-06-02,30.6,24.3,0.53,12.2,-6.2,,yfinance
2026-06-03,31.1,24.3,0.53,12.2,-7.9,,yfinance
2026-06-04,30.8,24.3,0.53,12.2,-10.2,,yfinance
2026-06-05,32.1,24.3,0.53,12.2,-8.9,,yfinance
2026-06-06,30.7,24.3,0.53,12.2,-11.7,,yfinance
2026-06-07,31.7,24.3,0.53,12.2,-11.7,,yfinance
2026-06-08,31.7,24.3,0.53,12.2,-11.7,,yfinance
2026-06-09,31.6,24.3,0.53,12.2,-12.0,,yfinance
2026-06-10,31.5,24.3,0.53,12.2,-12.3,,yfinance
2026-06-11,30.8,24.3,0.53,12.2,-14.6,,yfinance
2026-06-12,32.1,24.3,0.53,12.2,-13.3,,yfinance
2026-06-13,31.3,24.3,0.53,12.2,-14.4,,yfinance
2026-06-14,31.6,24.3,0.53,12.2,-14.4,,yfinance
2026-06-15,31.6,24.3,0.53,12.2,-14.4,,yfinance
2026-06-16,32.6,24.3,0.53,12.2,-11.7,,yfinance
2026-06-17,31.7,24.3,0.53,12.2,-11.7,,yfinance
2026-06-18,30.6,24.3,0.53,12.2,-14.7,,yfinance
2026-06-19,31.5,24.3,0.53,12.2,-12.3,,yfinance
2026-06-20,31.5,24.3,0.53,12.2,-12.3,,yfinance
2026-06-21,31.7,24.3,0.53,12.2,-12.3,,yfinance
2026-06-22,31.7,24.3,0.53,12.2,-12.3,,yfinance
2026-06-23,30.2,24.3,0.53,12.2,-16.4,,yfinance
2026-06-24,31.8,24.3,0.53,12.2,-16.0,,yfinance
2026-06-25,31.7,24.3,0.53,12.2,-15.9,,yfinance
2026-06-26,30.7,24.3,0.53,12.2,-18.5,,yfinance
2026-06-27,32.5,24.3,0.53,12.2,-16.5,,yfinance
2026-06-28,31.7,24.3,0.53,12.2,-16.5,,yfinance
2026-06-29,31.7,24.3,0.53,12.2,-16.5,,yfinance
2026-06-30,32.7,24.3,0.53,12.2,-13.8,,yfinance
2026-07-01,31.4,24.3,0.53,12.2,-14.4,,yfinance
2026-07-02,32.1,24.3,0.53,12.2,-13.2,,yfinance
2026-07-03,31.8,24.3,0.53,12.2,-12.9,,yfinance
2026-07-04,31.6,24.3,0.53,12.2,-12.9,,yfinance
2026-07-05,31.6,24.3,0.53,12.2,-12.9,,yfinance
2026-07-06,31.6,24.3,0.53,12.2,-12.9,,yfinance
2026-07-07,31.8,24.3,0.53,12.2,-12.3,,yfinance
2026-07-08,31.9,24.3,0.53,12.2,-11.7,,yfinance
2026-07-15,29.6,24.3,0.53,12.2,-11.2,,yfinance
2026-07-16,30.5,24.3,0.53,12.2,-8.5,,yfinance
2026-07-17,29.9,24.3,0.53,12.2,-10.3,,yfinance
2026-07-18,29.5,24.3,0.53,12.2,-11.2,,yfinance
2026-07-19,29.6,24.3,0.53,12.2,-11.2,,yfinance
2026-07-20,29.6,24.3,0.53,12.2,-11.2,,yfinance
2026-07-21,29.9,24.3,0.53,12.2,-10.3,,yfinance
2026-07-22,29.6,24.3,0.53,12.2,-11.1,,yfinance
2026-07-23,29.3,24.3,0.53,12.2,-12.1,,yfinance
2026-07-24,28.0,24.3,0.53,12.2,-16.1,,yfinance
2026-07-27,27.8,24.3,0.53,12.2,-16.7,,yfinance
2026-07-28,27.7,24.3,0.53,12.2,-16.9,,yfinance
2026-07-29,27.6,24.3,0.53,12.2,-17.1,,yfinance
2026-07-30,27.1,24.3,0.53,12.2,-18.6,,yfinance
2026-07-31,28.2,24.3,0.53,12.2,-15.5,,yfinance
2026-08-01,21.8,30.6,0.4,17.4,-2.5,,yfinance
2026-08-02,21.8,30.6,0.4,17.4,-2.5,,yfinance
2026-08-03,21.8,30.6,0.46,17.4,-2.5,,yfinance
2026-08-04,22.8,30.6,0.46,17.4,-1.1,,yfinance
2026-08-05,22.3,30.6,0.46,17.4,-1.3,,yfinance
2026-08-06,21.9,30.6,0.46,17.4,-5.1,,yfinance
2026-08-07,21.9,30.6,0.46,17.4,-5.2,,yfinance
2026-08-08,22.1,30.6,0.46,17.4,-4.4,,yfinance
2026-08-09,22.1,30.6,0.46,17.4,-4.4,,yfinance
2026-08-10,22.1,30.6,0.46,17.4,-4.4,,yfinance
