date,per,roe,debt_equity,profit_margin,drop_from_high_pct,dividend_yield,source
2026-05-31,27.0,36.1,0.56,22.3,-3.4,1.5,yfinance
2026-06-01,27.0,36.1,0.56,22.3,-3.4,1.5,yfinance
2026-06-02,24.6,36.1,0.56,22.3,-11.9,1.5,yfinance
2026-06-03,25.9,36.1,0.56,22.3,-7.3,1.6,yfinance
2026-06-04,26.9,36.1,0.56,22.3,-3.8,1.5,yfinance
2026-06-05,26.1,36.1,0.56,22.3,-6.7,1.5,yfinance
2026-06-06,23.2,36.1,0.56,22.3,-16.9,1.5,yfinance
2026-06-07,23.2,36.1,0.56,22.3,-16.9,1.7,yfinance
2026-06-08,23.2,36.1,0.56,22.3,-16.9,1.7,yfinance
2026-06-09,23.4,36.1,0.56,22.3,-16.2,1.7,yfinance
2026-06-10,22.1,36.1,0.56,22.3,-21.0,1.7,yfinance
2026-06-11,20.5,36.1,0.56,22.3,-26.4,1.8,yfinance
2026-06-12,21.8,36.1,0.56,22.3,-21.9,1.9,yfinance
2026-06-13,22.8,36.1,0.56,22.3,-18.5,1.8,yfinance
2026-06-14,22.8,36.1,0.56,22.3,-18.5,1.7,yfinance
2026-06-15,22.8,36.1,0.56,22.3,-18.5,1.7,yfinance
2026-06-16,23.8,36.1,0.56,22.3,-15.0,1.7,yfinance
2026-06-17,23.0,36.1,0.56,22.3,-17.6,1.7,yfinance
2026-06-18,22.9,36.1,0.56,22.3,-18.1,1.7,yfinance
2026-06-19,24.3,36.1,0.56,22.3,-13.0,1.7,yfinance
2026-06-20,24.3,36.1,0.56,22.3,-13.0,1.7,yfinance
2026-06-21,24.3,36.1,0.56,22.3,-13.0,1.6,yfinance
2026-06-22,24.3,36.1,0.56,22.3,-13.0,1.6,yfinance
2026-06-23,23.9,36.1,0.56,22.3,-14.6,1.6,yfinance
2026-06-24,21.9,36.1,0.56,22.3,-21.5,1.7,yfinance
2026-06-25,21.2,36.1,0.56,22.3,-24.0,1.8,yfinance
2026-06-26,22.0,36.1,0.56,22.3,-21.2,1.9,yfinance
2026-06-27,20.4,36.1,0.56,22.3,-27.1,1.8,yfinance
2026-06-28,20.4,36.1,0.56,22.3,-27.1,1.9,yfinance
2026-06-29,20.4,36.1,0.56,22.3,-27.1,1.9,yfinance
2026-06-30,20.3,36.1,0.56,22.3,-27.4,1.9,yfinance
2026-07-01,19.9,36.1,0.56,22.3,-28.9,1.9,yfinance
2026-07-02,19.6,36.1,0.56,22.3,-30.0,2.0,yfinance
2026-07-03,19.0,36.1,0.56,22.3,-32.2,2.0,yfinance
2026-07-04,18.9,36.1,0.56,22.3,-32.2,2.1,yfinance
2026-07-05,18.9,36.1,0.56,22.3,-32.2,2.1,yfinance
2026-07-06,18.9,36.1,0.56,22.3,-32.2,2.1,yfinance
2026-07-07,20.0,36.1,0.56,22.3,-28.3,2.1,yfinance
2026-07-08,19.7,36.1,0.56,22.3,-29.6,,yfinance
2026-07-15,19.2,36.1,0.56,22.3,-31.5,2.0,yfinance
