date,per,roe,debt_equity,profit_margin,drop_from_high_pct,dividend_yield,source
2026-05-31,86.9,33.4,0.83,36.6,-0.5,0.6,yfinance
2026-06-01,86.9,33.4,0.83,36.6,-0.5,0.6,yfinance
2026-06-02,89.5,33.4,0.83,36.6,-1.3,0.6,yfinance
2026-06-03,93.5,33.4,0.83,36.6,-1.5,0.6,yfinance
2026-06-04,93.1,33.4,0.83,36.6,-3.2,0.5,yfinance
2026-06-05,69.9,33.4,0.83,36.6,-15.4,0.5,yfinance
2026-06-06,64.4,37.3,0.74,38.8,-22.1,0.6,yfinance
2026-06-07,64.1,37.3,0.74,38.8,-22.1,0.7,yfinance
2026-06-08,64.1,37.3,0.74,38.8,-22.1,0.7,yfinance
2026-06-09,65.9,37.3,0.74,38.8,-19.9,0.7,yfinance
2026-06-10,65.0,37.3,0.74,38.8,-20.8,0.7,yfinance
2026-06-11,62.0,37.3,0.74,38.8,-24.8,0.7,yfinance
2026-06-12,63.9,37.3,0.74,38.8,-22.1,0.7,yfinance
2026-06-13,63.6,37.3,0.74,38.8,-22.8,0.7,yfinance
2026-06-14,63.7,37.3,0.74,38.8,-22.8,0.7,yfinance
2026-06-15,63.7,37.3,0.74,38.8,-22.8,0.7,yfinance
2026-06-16,65.7,37.3,0.74,38.8,-20.4,0.7,yfinance
2026-06-17,62.5,37.3,0.74,38.8,-23.9,0.7,yfinance
2026-06-18,65.2,37.3,0.74,38.8,-20.6,0.7,yfinance
2026-06-19,68.2,37.3,0.74,38.8,-16.9,0.7,yfinance
2026-06-20,68.2,37.3,0.74,38.8,-16.9,0.7,yfinance
2026-06-21,68.4,37.3,0.74,38.8,-16.9,0.6,yfinance
2026-06-22,68.4,37.3,0.74,38.8,-16.9,0.6,yfinance
2026-06-23,65.2,37.3,0.74,38.8,-20.8,0.6,yfinance
2026-06-24,63.4,37.3,0.74,38.8,-23.2,0.7,yfinance
2026-06-25,63.6,37.3,0.74,38.8,-22.8,0.7,yfinance
2026-06-26,63.2,37.3,0.74,38.8,-23.5,0.7,yfinance
2026-06-27,60.6,37.3,0.74,38.8,-26.3,0.7,yfinance
2026-06-28,60.6,37.3,0.74,38.8,-26.3,0.7,yfinance
2026-06-29,60.6,37.3,0.74,38.8,-26.3,0.7,yfinance
2026-06-30,61.9,37.3,0.74,38.8,-24.8,0.7,yfinance
2026-07-01,63.0,37.3,0.74,38.8,-23.7,0.7,yfinance
2026-07-02,61.5,37.3,0.74,38.8,-25.4,0.7,yfinance
2026-07-03,59.9,37.3,0.74,38.8,-27.2,0.7,yfinance
2026-07-04,59.9,37.3,0.74,38.8,-27.2,0.7,yfinance
2026-07-05,59.9,37.3,0.74,38.8,-27.2,0.7,yfinance
2026-07-06,59.9,37.3,0.74,38.8,-27.2,0.7,yfinance
2026-07-07,62.1,37.3,0.74,38.8,-24.5,0.7,yfinance
2026-07-08,61.6,37.3,0.74,38.8,-25.1,0.7,yfinance
2026-07-15,65.0,37.3,0.74,38.8,-21.4,0.7,yfinance
2026-07-16,65.8,37.3,0.74,38.8,-20.3,0.7,yfinance
2026-07-17,62.5,37.3,0.74,38.8,-24.4,0.7,yfinance
2026-07-18,61.5,37.3,0.74,38.8,-25.1,0.7,yfinance
2026-07-19,61.7,37.3,0.74,38.8,-25.1,0.7,yfinance
2026-07-20,61.7,37.3,0.74,38.8,-25.1,0.7,yfinance
2026-07-21,62.9,37.3,0.74,38.8,-23.6,0.7,yfinance
2026-07-22,64.3,37.3,0.74,38.8,-21.9,0.7,yfinance
2026-07-23,64.5,37.3,0.74,38.8,-19.8,0.7,yfinance
2026-07-24,65.5,37.3,0.74,38.8,-20.7,0.7,yfinance
2026-07-27,63.7,37.3,0.74,38.8,-22.8,0.7,yfinance
2026-07-28,63.9,37.3,0.74,38.8,-22.6,0.7,yfinance
2026-07-29,63.3,37.3,0.74,38.8,-23.0,0.7,yfinance
2026-07-30,61.5,37.3,0.74,38.8,-25.2,0.7,yfinance
2026-07-31,64.6,37.3,0.74,38.8,-21.6,0.7,yfinance
2026-08-01,64.8,37.3,0.74,38.8,-21.4,0.7,yfinance
2026-08-02,65.0,37.3,0.74,38.8,-21.4,0.7,yfinance
2026-08-03,65.0,37.3,0.74,38.8,-21.4,0.7,yfinance
2026-08-04,65.5,37.3,0.74,38.8,-20.8,0.7,yfinance
2026-08-05,69.7,37.3,0.74,38.8,-15.5,0.7,yfinance
2026-08-06,69.5,37.3,0.74,38.8,-15.5,0.7,yfinance
2026-08-07,69.9,37.3,0.74,38.8,-15.0,0.7,yfinance
2026-08-08,71.2,37.3,0.74,38.8,-13.6,0.6,yfinance
2026-08-09,71.4,37.3,0.74,38.8,-13.6,0.6,yfinance
2026-08-10,71.4,37.3,0.74,38.8,-13.6,0.6,yfinance
2026-08-11,70.5,37.3,0.74,38.8,-14.7,0.6,yfinance
2026-08-12,69.3,37.3,0.74,38.8,-15.9,0.6,yfinance
2026-08-13,69.5,37.3,0.74,38.8,-15.9,0.6,yfinance
2026-08-14,69.8,37.3,0.74,38.8,-15.6,0.6,yfinance
2026-08-15,65.3,37.3,0.74,38.8,-20.6,0.6,yfinance
2026-08-16,65.4,37.3,0.74,38.8,-20.6,0.7,yfinance
2026-08-17,65.4,37.3,0.74,38.8,-20.6,0.7,yfinance
2026-08-18,65.3,37.3,0.74,38.8,-20.7,0.7,yfinance
2026-08-19,63.3,37.3,0.74,38.8,-23.2,0.7,yfinance
2026-08-20,60.4,37.3,0.74,38.8,-26.8,0.7,yfinance
2026-08-21,60.5,37.3,0.74,38.8,-26.5,0.7,yfinance
2026-08-22,61.3,37.3,0.74,38.8,-25.6,0.7,yfinance
2026-08-23,61.3,37.3,0.74,38.8,-25.6,0.7,yfinance
