date,per,roe,debt_equity,profit_margin,drop_from_high_pct,dividend_yield,source
2026-05-31,52.3,32.3,0.84,29.1,-7.8,1.9,yfinance
2026-06-01,52.3,32.3,0.84,29.1,-7.8,1.9,yfinance
2026-06-02,50.2,32.3,0.84,29.1,-11.6,1.9,yfinance
2026-06-03,52.6,32.3,0.84,29.1,-7.1,1.9,yfinance
2026-06-04,52.8,32.3,0.84,29.1,-6.9,1.8,yfinance
2026-06-05,52.1,32.3,0.84,29.1,-7.9,1.8,yfinance
2026-06-06,48.6,32.3,0.84,29.1,-14.0,1.9,yfinance
2026-06-07,48.8,32.3,0.84,29.1,-14.0,2.0,yfinance
2026-06-08,48.8,32.3,0.84,29.1,-14.0,2.0,yfinance
2026-06-09,49.8,32.3,0.84,29.1,-12.3,2.0,yfinance
2026-06-10,49.3,32.3,0.84,29.1,-12.9,1.9,yfinance
2026-06-11,48.1,32.3,0.84,29.1,-14.9,2.0,yfinance
2026-06-12,50.9,32.3,0.84,29.1,-10.4,2.0,yfinance
2026-06-13,51.5,32.3,0.84,29.1,-9.2,1.9,yfinance
2026-06-14,51.6,32.3,0.84,29.1,-9.2,1.9,yfinance
2026-06-15,51.6,32.3,0.84,29.1,-9.2,1.9,yfinance
2026-06-16,53.7,32.3,0.84,29.1,-5.5,1.9,yfinance
2026-06-17,52.2,32.3,0.84,29.1,-7.8,1.8,yfinance
2026-06-18,51.7,32.3,0.84,29.1,-8.9,,yfinance
2026-06-19,55.3,32.3,0.84,29.1,-2.6,,yfinance
2026-06-20,55.3,32.3,0.84,29.1,-2.6,,yfinance
2026-06-21,55.3,32.3,0.84,29.1,-2.6,1.8,yfinance
2026-06-22,55.3,32.3,0.84,29.1,-2.6,1.8,yfinance
2026-06-23,56.9,32.3,0.84,29.1,-0.5,1.8,yfinance
2026-06-24,52.0,32.3,0.84,29.1,-8.9,1.7,yfinance
2026-06-25,51.9,32.3,0.84,29.1,-9.3,1.9,yfinance
2026-06-26,53.3,32.3,0.84,29.1,-6.7,1.9,yfinance
2026-06-27,48.7,32.3,0.84,29.1,-14.6,1.8,yfinance
2026-06-28,48.8,32.3,0.84,29.1,-14.6,2.0,yfinance
2026-06-29,48.8,32.3,0.84,29.1,-14.6,2.0,yfinance
